ID,Consommable,Marque,Référence,Code CAS,Catégorie,Code NACRES,Masse unitaire (g),Matériau consommable,Masse unitaire deuxieme materiaux (g),Matériau deuxieme materiaux,Masse unitaire troisième materiaux (g),Matériau troisième materiaux,Masse emballage unitaire (g),Matériau emballage,Masse condionnement (g),Matériau conditionnement,Nbr par conditionnement,Prix du conditionnement,date d'ajout,Source/Signature,Lien / Note / Remarque
1,Tube centrifugeuse 15 mL,Falcon,352096,,Consommable,"NB11 Microtubes, cryotubes, tubes a usage unique","6,7",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,
2,Tube centrifugeuse 50 mL,BIOLOGIX,10*9502,,Consommable,"NB11 Microtubes, cryotubes, tubes a usage unique","14,35",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,
3,Seringue 5 mL,Terumo,1SS05LE1,,Consommable,NB03 Seringues en plastique et aiguilles,"1,9",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,
4,Boite de Pétri 35 x 10 mm,Falcon,351008,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"4,6",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,
5,Serological pipette 5 mL individually wrapped,Starlab,E4860-0005,,Consommable,NB04 Pipettes a usage unique,"7,9",Verre,,Verre,,,,,,,,,,Souchaud,
6,"T-25 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4825,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"20,9",Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,Souchaud,
7,"T-75 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4175,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"60,62",Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,Souchaud,
8,"T-225 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4225,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"149,5",Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,Souchaud,
9,"200 µl Pointe TipOne®, Naturel",Starlab,S1111-0810-C,,Consommable,NB02 Pointes (cones) pour micropipettes mono-canal et multi-canaux,"0,28",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,https://www.starlabgroup.com/FR-fr/product/200-ul-pointe-tipone-naturel-pf-sl-920673.html
10,"1 000 µl Pointe graduée TipOne®, Bleu",Starlab,S1111-6811-C,,Consommable,NB02 Pointes (cones) pour micropipettes mono-canal et multi-canaux,"0,547",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,https://www.starlabgroup.com/FR-fr/product/1-nbsp-000-ul-pointe-graduee-tipone-bleu-pf-sl-921051.html
11,"1 000 µl Pointe non graduée TipOne® Filtre, Naturel (stérile)",Starlab,S1126-7710-C,,Consommable,"NB11 Microtubes, cryotubes, tubes a usage unique","0,83",Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,Souchaud,
12,1.5 mL FlipTube Standard,Hamilton,235454,,Consommable,HA01 Epi : gants a usage unique,12,Latex,,Latex,,,,,,,,,,Souchaud,
13,Paire de gant latex powder free M (7-8),,,,Consommable,HA01 Epi : gants a usage unique,"13,7",Nitrile,,Nitrile,,,,,,,,,,Souchaud,
14,Paire de gants (taille M) ambidextres Kimtech Purple Nitrile,Kimberly-Clark,90627,,Consommable,HA01 Epi : gants a usage unique,"16,85",Nitrile,,Nitrile,,,,,,,,,,Souchaud,
15,Paire de gants (taille L) ambidextres Kimtech Purple Nitrile,Kimberly-Clark,90628,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"12,888",Polypropylène (PP),,Polypropylène (PP),,,0,,15.682 ,,25,,,Knörr / Lespay Aguilera,
16,Falcon® Tube with conical bottom 50 ml (bulk),Falcon®,352070,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"8,15",Polystyrène (PS),,Polystyrène (PS),,,0,,"5,189",,14,,,Knörr / Lespay Aguilera,
17,TPP Tissue Culture Dish 60,TPP,93060,,Consommable,NB03 Seringues en plastique et aiguilles,"2,151",Polypropylène (PP),,,,,"0,575",,"88,61",Carton,100,,,Knörr / Lespay Aguilera,Barillet et piston: Polypropylène / Joint: Élastomère thermoplastique / Lubrifiant: Huile de silicone
18,1ml Terumo Leur Slip Syringes,TERUMO,BS-01T,,Consommable,NB03 Seringues en plastique et aiguilles,,,,,,,,,,,,,,,
19,"Polypropylene Centrifuge tube, Sterile 50 ml - CentriStar Cap - 25 bulk",Corning® ,430829,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"12,2",Polyéthylène téréphtalate (PET),,Polyéthylène téréphtalate (PET),,,0,,"15,282",,25,,,Knörr / Lespay Aguilera,
20,Pipette for cell culture 2 ml Falcon®,Falcon®,357507,,Consommable,NB04 Pipettes a usage unique,"5,275",Polystyrène (PS),,Polystyrène (PS),,,"0,482",,"60,678",Carton,100,,,Knörr / Lespay Aguilera,
21,Pipette for cell culture 25 ml + 11 ml Falcon®,Falcon®,357535,,Consommable,NB04 Pipettes a usage unique,"14,661",Polystyrène (PS),,Polystyrène (PS),,,"1,91",,"14,991",,,,,,
22,Falcon® Tube with conical bottom 15 ml (bulk),Falcon®,352096,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"6,749",Polypropylène (PP),,Polypropylène (PP),,,0,,"10,584",,50,,,Knörr / Lespay Aguilera,
23,TPP Tissue Culture Dish 100,TPP,93100,,Consommable,NB13 Culture cellulaire eucaryote : consommables en plastique specifiques,"24,2251",Polystyrène (PS),,Polystyrène (PS),,,0,,"8,856",,10,,,Knörr / Lespay Aguilera, 
24,"Dropper Bottle, LDPE with white closure 15ml",ThermoScentific,2750-9050,,Consommable,"NB43 Vaisselle de laboratoire reutilisable en verre, plastique, porcelaine","3,74",Low-density Polyéthylène (LDPE),"1,52",Polyéthylène (PE),"0,423",Low-density Polyéthylène (LDPE),"0,992",Polyéthylène (PE),"2,788",Carton,25,"36,06",25/02/2026,Souchaud,https://www.thermofisher.com/order/catalog/product/2750-9050
