code_nacres,designation,code_ijm,prix_ht,condt,nb_unites,prix_unitaire,marque,page
HA04,GANTS de PROTECTION THERMIQUE KEVLAR/COTON Jusqu'à 350°C L310mm,E033,32.72,1,1,32.72,,1
HA04,GANTS de PROTECTION THERMIQUE ETANCHE Jusqu'à 150°C,E033A,81.53,1,1,81.53,MAPA,1
HA04,CRYOGANT en CUIR Etanche 38 cm Taille S,E034,69.92,1,1,69.92,CRYO-GLOVES,1
HA04,CRYOGANT en CUIR Etanche 38 cm Taille M,E035,69.92,1,1,69.92,CRYO-GLOVES,1
HA04,CRYOGANT en CUIR Etanche 38 cm Taille L,E0351,69.92,1,1,69.92,CRYO-GLOVES,1
HA01,GANTS LATEX XS Eco SHIELD,E03630,9.01,1 x100,100,0.0901,SHIELD,1
HA01,GANTS LATEX S Eco SHIELD,E03631,9.01,1 x100,100,0.0901,SHIELD,1
HA01,GANTS LATEX M Eco SHIELD,E03632,9.01,1 x100,100,0.0901,SHIELD,1
HA01,GANTS LATEX L Eco SHIELD,E03633,9.01,1 x100,100,0.0901,SHIELD,1
HA01,GANTS NITRILE XS (x200) FISHERBRAND,E0342D,9.74,1 x200,200,0.0487,FISHERBRAND,1
HA01,GANTS NITRILE S (x200) FISHERBRAND,E0343D,9.74,1 x200,200,0.0487,FISHERBRAND,1
HA01,GANTS NITRILE M (x200) FISHERBRAND,E0353D,9.74,1 x200,200,0.0487,FISHERBRAND,1
HA01,GANTS NITRILE L (x200) FISHERBRAND,E0363D,9.74,1 x200,200,0.0487,FISHERBRAND,1
HA01,GANTS NITRILE XL (x200) FISHERBRAND,E0364D,9.74,1 x200,200,0.0487,FISHERBRAND,1
HA01,GANTS NITRILE XS (x150) EcoSHIELD VERT,E0342B,16.59,1 x150,150,0.1106,SHIELD SCIENTIFIC,1
HA01,GANTS NITRILE S (x150) EcoSHIELD VERT,E0343B,16.59,1 x150,150,0.1106,SHIELD SCIENTIFIC,1
HA01,GANTS NITRILE M (x150) EcoSHIELD VERT,E0353B,16.59,1 x150,150,0.1106,SHIELD SCIENTIFIC,1
HA01,GANTS NITRILE L (x150) EcoSHIELD VERT,E0363B,16.59,1 x150,150,0.1106,SHIELD SCIENTIFIC,1
