code_nacres,designation,code_fournisseur,prix_ht,condt,nb_unites,prix_unitaire,marque,fournisseur,catalogue_date,page
,Amoxycillin trihydrate,A0101.0025,64.0,25 g,1,64.0,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Amphotericin B,A0103.0005,90.8,5 g,1,90.8,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Amphotericin B,A0103.0010,153.9,10 g,1,153.9,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Ampicillin sodium,A0104.0005,12.2,5 g,1,12.2,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Ampicillin sodium,A0104.0010,21.8,10 g,1,21.8,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Ampicillin sodium,A0104.0025,49.6,25 g,1,49.6,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Atrazine,A0156.0250,67.3,250 mg,1,67.3,Duchefa Biochemie,DUCHEFA,2010-2012,84
,Apramycin sulphate,A0164.0005,26.8,5 g,1,26.8,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Apramycin sulphate,A0164.0010,45.5,10 g,1,45.5,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Apramycin sulphate,A0164.0025,82.5,25 g,1,82.5,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Acyclovir,A0183.1000,51.8,1 g,1,51.8,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Amiprophos methyl,A0185.0250,51.9,250 mg,1,51.9,Duchefa Biochemie,DUCHEFA,2010-2012,81
,Amiprophos methyl,A0185.1000,166.3,1 g,1,166.3,Duchefa Biochemie,DUCHEFA,2010-2012,81
,Amoxycillin sodium / Clavulanate potassium,A0189.0002,26.2,2 g,1,26.2,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Amoxycillin sodium / Clavulanate potassium,A0189.0010,122.7,10 g,1,122.7,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Amoxycillin sodium / Clavulanate potassium,A0189.0025,290.5,25 g,1,290.5,Duchefa Biochemie,DUCHEFA,2010-2012,82
,Amphotericin B suspension,A0192.0040,44.2,40 ml,1,44.2,Duchefa Biochemie,DUCHEFA,2010-2012,83
,Ammonium nitrate,A0501.1000,16.2,1 kg,1,16.2,Duchefa Biochemie,DUCHEFA,2010-2012,82
