nacres.code	nacres.description.fr	nacres.description.en	ceda.code	ceda.description	ceda.ef.kg.co2e.per.euro	ceda.uncertainty.attr.kg.co2e.per.euro	ceda.uncertainty.80pct.kg.co2e.per.euro	ademe.code	ademe.description	ademe.ef.kg.co2e.per.euro	ademe.uncertainty.attr.kg.co2e.per.euro	ademe.uncertainty.80pct.kg.co2e.per.euro	useeio.code	useeio.description	useeio.ef.kg.co2e.per.euro	useeio.uncertainty.attr.kg.co2e.per.euro	useeio.uncertainty.80pct.kg.co2e.per.euro	per1p5macro.ef.kg.co2e.per.euro	per1p5macro.uncertainty.attr.kg.co2e.per.euro	per1p5macro.uncertainty.80pct.kg.co2e.per.euro	meso.code	meso.description	meso.ef.kg.co2e.per.euro	meso.uncertainty.kg.co2e.per.euro	micro.code	micro.description	micro.ef.kg.co2e.per.euro	micro.uncertainty.kg.co2e.per.euro	method	per1p5.ef.kg.co2e.per.euro	per1p5.uncertainty.attr.kg.co2e.per.euro	per1p5.uncertainty.80pct.kg.co2e.per.euro	uncertainty.groupby	module	category	scope.source.v4	scope.source.v5
AA01	PAINS, PATISSERIES, VIENNOISERIES CONGELES	FROZEN BREADS, PASTRIES, PASTRIES						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311410	Frozen food	1.1	0.0	0.8800000000000001	1.1	0.06	0.8800000000000001									macro	1.1	0.1	0.8800000000000001	AA05	purchases	lab.life	9	4.1
AA02	PRODUITS CARNES CONGELES	FROZEN MEAT PRODUCTS						ADEME13	Produits agricoles et de la mer	2.3	0.0	1.84	311410	Frozen food	1.1	0.0	0.8800000000000001	1.5	0.69	1.2									macro	1.5	0.7	1.2	AA04	purchases	lab.life	9	4.1
AA03	PRODUITS DE LA MER OU DEAU DOUCE CONGELES	FROZEN SEA OR FRESH WATER PRODUCTS						ADEME13	Produits agricoles et de la mer	2.3	0.0	1.84	311410	Frozen food	1.1	0.0	0.8800000000000001	1.5	0.69	1.2									macro	1.5	0.7	1.2	AA04	purchases	lab.life	9	4.1
AA04	FRUITS ET LEGUMES CONGELES	FROZEN FRUITS AND VEGETABLES						ADEME13	Produits agricoles et de la mer	2.3	0.0	1.84	311410	Frozen food	1.1	0.0	0.8800000000000001	1.5	0.69	1.2									macro	1.5	0.7	1.2	AA04	purchases	lab.life	9	4.1
AA05	PREPARATIONS ALIMENTAIRES ET PLATS CUISINES CONGELES	FROZEN FOOD PREPARATIONS AND DISHES						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311410	Frozen food	1.1	0.0	0.8800000000000001	1.1	0.06	0.8800000000000001									macro	1.1	0.1	0.8800000000000001	AA05	purchases	lab.life	9	4.1
AA11	PAINS, PATISSERIES, VIENNOISERIES FRAIS	FRESH BREADS, PASTRIES AND PASTRIES						ADEME14	Produit agro-alimentaires transformes	1.0	0.0	0.8	311810	Bread and other baked goods	0.34	0.0	0.272	0.63	0.34	0.504									macro	0.63	0.34	0.504	AA11	purchases	lab.life	9	4.1
AA12	VIANDES FRAICHES - REFRIGEREES	FRESH MEAT - CHILLED						ADEME13	Produits agricoles et de la mer	2.3	0.0	1.84	31161A / 112300	Packaged meat (except poultry) / Poultry farms	1.9	0.8	1.52	2.0	0.6	1.6									macro	2.0	0.6	1.6	AA12	purchases	lab.life	9	4.1
AA13	PRODUITS DE LA MER OU DEAU DOUCE FRAIS	FRESH SEA OR FRESH WATER PRODUCTS						ADEME13	Produits agricoles et de la mer	2.3	0.0	1.84	311700	Seafood	0.5	0.0	0.4	1.2	0.98	0.96									macro	1.2	1.0	0.96	AA13	purchases	lab.life	9	4.1
AA14	FRUITS ET LEGUMES FRAIS OU REFRIGERES	FRESH OR CHILLED FRUITS AND VEGETABLES						ADEME13	Produits agricoles et de la mer	2.3	0.0	1.84	111200 / 111300	Fresh vegetables, melons, and potatoes / Fresh fruits and tree nuts	0.65	0.0	0.52	1.4	0.85	1.12									macro	1.4	0.9	1.12	AA14	purchases	lab.life	9	4.1
AA15	OEUFS ET PRODUITS LAITIERS	EGGS AND DAIRY PRODUCTS						ADEME13	Produits agricoles et de la mer	2.3	0.0	1.84	112300 / 31151A / 311513 / 311514	Poultry farms / Fluid milk and butter / Cheese / Dry, condensed, and evaporated dairy	1.7	0.29	1.36	1.9	0.44	1.52									macro	1.9	0.4	1.52	AA15	purchases	lab.life	9	4.1
