category	subcategory	subsubcategory	unit	name	year	co2	ch4	n2o	other	total	uncertainty	ef.unit	method	module	nacres.description.en	per1p5macro.ef.kg.co2e.per.euro	meso.ef.kg.co2e.per.euro	micro.ef.kg.co2e.per.euro	per1p5.uncertainty.attr.kg.co2e.per.euro	micro.code	micro.description	meso.code	meso.description	uncertainty.groupby
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA01	euro	PAINS, PATISSERIES, VIENNOISERIES CONGELES	2019	0.0	0.0	0.0	0.0	1.1	0.8800000000000001	kg eCO2/euro	macro	purchases	FROZEN BREADS, PASTRIES, PASTRIES	1.1			0.1					AA05
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA02	euro	PRODUITS CARNES CONGELES	2019	0.0	0.0	0.0	0.0	1.5	1.2	kg eCO2/euro	macro	purchases	FROZEN MEAT PRODUCTS	1.5			0.7					AA04
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA03	euro	PRODUITS DE LA MER OU DEAU DOUCE CONGELES	2019	0.0	0.0	0.0	0.0	1.5	1.2	kg eCO2/euro	macro	purchases	FROZEN SEA OR FRESH WATER PRODUCTS	1.5			0.7					AA04
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA04	euro	FRUITS ET LEGUMES CONGELES	2019	0.0	0.0	0.0	0.0	1.5	1.2	kg eCO2/euro	macro	purchases	FROZEN FRUITS AND VEGETABLES	1.5			0.7					AA04
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA05	euro	PREPARATIONS ALIMENTAIRES ET PLATS CUISINES CONGELES	2019	0.0	0.0	0.0	0.0	1.1	0.8800000000000001	kg eCO2/euro	macro	purchases	FROZEN FOOD PREPARATIONS AND DISHES	1.1			0.1					AA05
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA11	euro	PAINS, PATISSERIES, VIENNOISERIES FRAIS	2019	0.0	0.0	0.0	0.0	0.63	0.504	kg eCO2/euro	macro	purchases	FRESH BREADS, PASTRIES AND PASTRIES	0.63			0.34					AA11
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA12	euro	VIANDES FRAICHES - REFRIGEREES	2019	0.0	0.0	0.0	0.0	2.0	1.6	kg eCO2/euro	macro	purchases	FRESH MEAT - CHILLED	2.0			0.6					AA12
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA13	euro	PRODUITS DE LA MER OU DEAU DOUCE FRAIS	2019	0.0	0.0	0.0	0.0	1.2	0.96	kg eCO2/euro	macro	purchases	FRESH SEA OR FRESH WATER PRODUCTS	1.2			1.0					AA13
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA14	euro	FRUITS ET LEGUMES FRAIS OU REFRIGERES	2019	0.0	0.0	0.0	0.0	1.4	1.12	kg eCO2/euro	macro	purchases	FRESH OR CHILLED FRUITS AND VEGETABLES	1.4			0.9					AA14
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA15	euro	OEUFS ET PRODUITS LAITIERS	2019	0.0	0.0	0.0	0.0	1.9	1.52	kg eCO2/euro	macro	purchases	EGGS AND DAIRY PRODUCTS	1.9			0.4					AA15
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA16	euro	PREPARATIONS ALIMENTAIRES ET PLATS CUISINES FRAIS - REFRIGERES	2019	0.0	0.0	0.0	0.0	0.73	0.584	kg eCO2/euro	macro	purchases	FOOD PREPARATIONS AND DISHES FRESH - CHILLED	0.73			0.39					AA32
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA21	euro	BOISSONS NON ALCOOLISEES	2019	0.0	0.0	0.0	0.0	0.72	0.576	kg eCO2/euro	macro	purchases	NON-ALCOHOLIC DRINKS	0.72			0.35					AA21
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA22	euro	BOISSONS ALCOLISEES	2019	0.0	0.0	0.0	0.0	0.68	0.544	kg eCO2/euro	macro	purchases	ALCOHOLIC DRINKS	0.68			0.3					AA22
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA23	euro	CONSERVES ET EPICERIE	2019	0.0	0.0	0.0	0.0	0.77	0.6160000000000001	kg eCO2/euro	macro	purchases	CANNED FOOD AND GROCERIES	0.77			0.28					AA23
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA31	euro	ALIMENTS ADAPTES A L'ENFANT	2019	0.0	0.0	0.0	0.0	0.73	0.584	kg eCO2/euro	macro	purchases	FOOD SUITABLE FOR CHILDREN	0.73			0.39					AA32
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA32	euro	ALIMENTS DIETETIQUES SANS FIN MEDICALE	2019	0.0	0.0	0.0	0.0	0.73	0.584	kg eCO2/euro	macro	purchases	DIETETIC FOOD WITHOUT MEDICAL PURPOSE	0.73			0.39					AA32
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA41	euro	CONSOMMABLES POUR LA RESTAURATION	2019	0.0	0.0	0.0	0.0	0.84	0.672	kg eCO2/euro	macro	purchases	CONSUMABLES FOR CATERING	0.84			0.18					AA41
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA42	euro	PETITES FOURNITURES POUR LA RESTAURATION	2019	0.0	0.0	0.0	0.0	0.55	0.4400000000000001	kg eCO2/euro	macro	purchases	SMALL CATERING SUPPLIES	0.55			0.29					AA42
	Vie du laboratoire (Alimentation, aménagement, loisirs, bâtiment)	AA43	euro	MOBILIER DE CUISINE ET DE SALLE DE RESTAURATION	2019	0.0	0.0	0.0	0.0	0.55	0.4400000000000001	kg eCO2/euro	macro	purchases	KITCHEN AND DINING ROOM FURNITURE	0.55			0.25					AA43
