category	subcategory	subsubcategory	unit	name	year	total	uncertainty	ef.unit	method
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA01	euro	ACETYLENE DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.67	0.536	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA02	euro	AIR SYNTHETIQUE DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.22	0.176	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA03	euro	ARGON DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.39	0.3120000000000001	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA04	euro	AZOTE GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.17	0.136	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA05	euro	DIOXYDE DE CARBONE DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.47	0.376	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA06	euro	HELIUM GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.07	0.056	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA07	euro	HYDROGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.45	0.36	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA08	euro	OXYGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.32	0.256	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA09	euro	AUTRES GAZ SIMPLES OU EN MELANGE DE QUALITE INDUSTRIELLE EN BOUTEILLE	2019	0.35	0.28	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA11	euro	ARGON DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE	2019	0.31	0.248	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA12	euro	AZOTE GAZEUX DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE	2019	0.1	0.08	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA13	euro	DIOXYDE DE CARBONE DE HAUTE PURETE (PURETE SUPERIEURE A D.0) EN BOUTEILLE	2019	0.18	0.144	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA14	euro	GAZ RARES DE TRES HAUTE PURETE (NEON, XENON, KRYPTON,...) EN BOUTEILLE	2019	0.08	0.064	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA15	euro	HELIUM GAZEUX DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE	2019	0.14	0.112	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA17	euro	HYDROGENE DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE	2019	0.12	0.096	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA18	euro	OXYGENE DE HAUTE PURETE (PURETE SUPERIEURE A 4.5) EN BOUTEILLE	2019	0.11	0.088	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA19	euro	AUTRES GAZ NON MELANGES HAUTE PURETE EN BOUTEILLE	2019	0.15	0.12	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA21	euro	MELANGES DE GAZ SCIENTIFIQUES DE HAUTE PURETE EN BOUTEILLE	2019	0.15	0.12	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA51	euro	AZOTE LIQUIDE EN VRAC ET DEWAR	2019	0.42	0.336	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA52	euro	HELIUM LIQUIDE EN VRAC ET DEWAR	2019	0.37	0.296	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA53	euro	ARGON EN VRAC ET DEWAR	2019	0.42	0.336	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA54	euro	OXYGENE EN VRAC ET DEWAR	2019	0.42	0.336	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	GA55	euro	GLACE CARBONIQUE (HORS TRANSPORT DE PRODUITS BIOLOGIQUES)	2019	0.96	0.768	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	NB02	euro	POINTES (CONES) POUR MICROPIPETTES MONO-CANAL ET MULTI-CANAUX	2019	0.17	0.136	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	NB04	euro	PIPETTES A USAGE UNIQUE	2019	0.84	0.672	kg eCO2/euro	micro
	Matériel et instruments de laboratoire	NB05	euro	PIPETTES REUTILISABLES	2019	0.23	0.184	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	NB13	euro	CULTURE CELLULAIRE EUCARYOTE : CONSOMMABLES EN PLASTIQUE SPECIFIQUES	2019	0.32	0.256	kg eCO2/euro	micro
	Consommables (Matières premières, produits chimiques/biologiques et organismes vivants)	NB15	euro	MICROPLAQUES (PCR, HTS, ELISA_x001A_) HORS CULTURE CELLULAIRE ET FILTRATION	2019	0.32	0.256	kg eCO2/euro	micro
	Matériel et instruments de laboratoire	NB42	euro	VERRERIE SOUFFLEE (A FACON)	2019	0.23	0.184	kg eCO2/euro	micro
	Matériel et instruments de laboratoire	NB43	euro	VAISSELLE DE LABORATOIRE REUTILISABLE EN VERRE, PLASTIQUE, PORCELAINE	2019	0.23	0.184	kg eCO2/euro	micro
	Matériel et instruments de laboratoire	NB44	euro	CUVETTES EN VERRE ET QUARTZ POUR SPECTROMETRES	2019	0.23	0.184	kg eCO2/euro	micro
