,category,subcategory,subsubcategory,unit,name,year,co2,ch4,n2o,other,total,uncertainty,ef.unit,method,module,nacres.description.en,per1p5macro.ef.kg.co2e.per.euro,meso.ef.kg.co2e.per.euro,micro.ef.kg.co2e.per.euro,per1p5.uncertainty.attr.kg.co2e.per.euro,micro.code,micro.description,meso.code,meso.description,uncertainty.groupby
0,Électricité,FR,,kWh,Electricité France continentale,2022,0.0,0.0,0.0,0.0,0.052,0.1,kg eCO2/kWh,,,,,,,,,,,,
1,Électricité,FR.94,,kWh,Electricité Corse,2014,0.0,0.0,0.0,0.0,0.5937,0.15,kg eCO2/kWh,,,,,,,,,,,,
2,Électricité,PM,,kWh,Electricité St Pierre et Miquelon,2017,0.0,0.0,0.0,0.0,0.9438,0.15,kg eCO2/kWh,,,,,,,,,,,,
3,Électricité,WF,,kWh,Electricité Wallis-et-Futuna (identique à St Pierre et Miquelon),2017,0.0,0.0,0.0,0.0,0.9438,0.15,kg eCO2/kWh,,,,,,,,,,,,
4,Électricité,TF,,kWh,Electricité Terres australes françaises (identique à St Pierre et Miquelon),2017,0.0,0.0,0.0,0.0,0.9438,0.15,kg eCO2/kWh,,,,,,,,,,,,
5,Électricité,MF,,kWh,Electricité St Martin,2017,0.0,0.0,0.0,0.0,0.8195,0.15,kg eCO2/kWh,,,,,,,,,,,,
6,Électricité,BL,,kWh,Electricité St Barthélémy,2018,0.0,0.0,0.0,0.0,0.8591,0.15,kg eCO2/kWh,,,,,,,,,,,,
7,Électricité,RE,,kWh,Electricité Réunion,2014,0.0,0.0,0.0,0.0,0.78,0.15,kg eCO2/kWh,,,,,,,,,,,,
8,Électricité,YT,,kWh,Electricité Mayotte,2014,0.0,0.0,0.0,0.0,0.7795,0.15,kg eCO2/kWh,,,,,,,,,,,,
9,Électricité,GP,,kWh,Electricité Guadeloupe,2014,0.0,0.0,0.0,0.0,0.7021,0.15,kg eCO2/kWh,,,,,,,,,,,,
10,Électricité,NC,,kWh,Electricité Nouvelle-Calédonie (identique à Guadeloupe),2014,0.0,0.0,0.0,0.0,0.7021,0.15,kg eCO2/kWh,,,,,,,,,,,,
11,Électricité,MQ,,kWh,Electricité Martinique,2014,0.0,0.0,0.0,0.0,0.8395,0.15,kg eCO2/kWh,,,,,,,,,,,,
12,Électricité,GF,,kWh,Electricité Guyane,2020,0.0,0.0,0.0,0.0,0.9566,0.15,kg eCO2/kWh,,,,,,,,,,,,
13,Électricité,PF,,kWh,Electricité Polynésie hors Tahiti,2021,0.0,0.0,0.0,0.0,1.0934,0.15,kg eCO2/kWh,,,,,,,,,,,,
14,Électricité,PF.01,,kWh,Electricité Tahiti,2021,0.0,0.0,0.0,0.0,0.5432,0.15,kg eCO2/kWh,,,,,,,,,,,,
15,Véhicules,Voiture,Essence,km,"Voiture particulière, moyenne parc, motorisation essence",2018,0.0,0.0,0.0,0.0,0.2234,0.6,kg eCO2/km,,,,,,,,,,,,
16,Véhicules,Voiture,Diesel,km,"Voiture particulière , moyenne parc, motorisation gazole",2018,0.0,0.0,0.0,0.0,0.2121,0.6,kg eCO2/km,,,,,,,,,,,,
17,Véhicules,Voiture,Motorisation inconnue,km,"Voiture particulière, moyenne parc, motorisation moyenne",2018,0.0,0.0,0.0,0.0,0.2156,0.6,kg eCO2/km,,,,,,,,,,,,
18,Véhicules,Voiture,GPL,km,"Voiture particulière, moyenne parc, motorisation GPL",2018,0.0,0.0,0.0,0.0,0.2174,0.6,kg eCO2/km,,,,,,,,,,,,
19,Véhicules,Voiture,GNV,km,"Voiture particulière, moyenne parc, motorisation GNV",2018,0.0,0.0,0.0,0.0,0.2218,0.6,kg eCO2/km,,,,,,,,,,,,
20,Véhicules,Voiture,E85,km,"Voiture particulière, moyenne parc, motorisation E85",2018,0.0,0.0,0.0,0.0,0.1467,0.6,kg eCO2/km,,,,,,,,,,,,
21,Véhicules,Voiture,Hybride,km,Voiture particulière - Coeur de gamme - Véhicule compact - Hybride full P2,2020,0.0,0.0,0.0,0.0,0.1828,0.7,kg eCO2/km,,,,,,,,,,,,
22,Véhicules,Voiture,Électrique,km,Voiture particulière - Coeur de gamme - Véhicule compact - Electrique,2020,0.0,0.0,0.0,0.0,0.1034,0.7,kg eCO2/km,,,,,,,,,,,,
23,Véhicules,Moto,Essence,km,Moto >= 250 cm3 mixte,2018,0.0,0.0,0.0,0.0,0.1913,0.6,kg eCO2/km,,,,,,,,,,,,
24,Véhicules,Vélo,Musculaire,km,Non disponible,2019,0.0,0.0,0.0,0.0,0.005,0.7,kg eCO2/km,,,,,,,,,,,,
25,Véhicules,Vélo,Électrique,km,"VAE, bicyclette a assistance électrique",2020,0.0,0.0,0.0,0.0,0.0109,0.5,kg eCO2/km,,,,,,,,,,,,
26,Véhicules,Trottinette,Électrique,km,Trotinette electrique,2020,0.0,0.0,0.0,0.0,0.0249,0.5,kg eCO2/km,,,,,,,,,,,,
27,Véhicules,Aéronef,Avion à hélices (pistons),litre,Essence aviation (AvGas) France continentale,2014,2.96,0.0513,0.0,0.0,3.0113,0.05,kg eCO2/litre,,,,,,,,,,,,
28,Véhicules,Aéronef,Hélicoptère (pistons),litre,Essence aviation (AvGas) France continentale,2014,2.96,0.0513,0.0,0.0,3.0113,0.05,kg eCO2/litre,,,,,,,,,,,,
29,Véhicules,Aéronef,Avion à hélices (turbines),litre,Kérosène Jet A1 ou A France continentale,2018,3.019,0.0545,0.0056,0.0,3.0791,0.05,kg eCO2/litre,,,,,,,,,,,,
30,Véhicules,Aéronef,Hélicoptère (turbines),litre,Kérosène Jet A1 ou A France continentale,2018,3.019,0.0545,0.0056,0.0,3.0791,0.05,kg eCO2/litre,,,,,,,,,,,,
31,Véhicules,Bateau,Essence,litre,"Essence - Supercarburant sans plomb (95, 95-E10, 98)",2021,6.083,0.1636,0.2585,0.0,6.5051,0.1,kg eCO2/litre,,,,,,,,,,,,
32,Véhicules,Bateau,Fioul lourd HFO,litre,HFO (Heavy Fuel Oil) - ISO 8217 classes RME à RMK,2014,2.893,0.0399,0.0,0.0,2.9329,0.05,kg eCO2/litre,,,,,,,,,,,,
33,Véhicules,Bateau,Fioul léger HFO,litre,LFO (Light Fuel Oil) - ISO 8217 classes RMA à RMD (maritime),2014,2.999,0.0516,0.0,0.0,3.0506,0.05,kg eCO2/litre,,,,,,,,,,,,
34,Véhicules,Bateau,Diesel,litre,MDO (Marine Diesel Oil) - ISO 8217 classes DMX à DMC,2014,2.999,0.0516,0.0,0.0,3.0506,0.05,kg eCO2/litre,,,,,,,,,,,,
35,Véhicules,Bateau,Campagnes en mer,jours mer,Bateau oceanographique avec couchage à bord - Non disponible dans base ademe,2019,0.0,0.0,0.0,0.0,910.0,0.6,kg eCO2/jours mer,,,,,,,,,,,,
36,Véhicules,Bateau,Campagnes côtières,heure.mer,Bateau oceanographique local sans couchage à bord - Non disponible dans base ademe,2019,0.0,0.0,0.0,0.0,7.6,0.6,kg eCO2/heure.mer,,,,,,,,,,,,
37,Infra. de recherche,CERN,with.lhc,Utilisateur(s),Expérience LHC,2022,0.0,0.0,0.0,0.0,25120.0,0.37,kg eCO2/Utilisateur(s),,,,,,,,,,,,
38,Infra. de recherche,CERN,without.lhc,Utilisateur(s),Expérience non-LHC,2022,0.0,0.0,0.0,0.0,9380.0,0.3,kg eCO2/Utilisateur(s),,,,,,,,,,,,
39,Infra. de recherche,Calcul GENCI,cpu,heures.coeur,CPU,2023,0.0,0.0,0.0,0.0,0.00062,0.21,kg eCO2/heures.coeur,,,,,,,,,,,,
40,Infra. de recherche,Calcul GENCI,GPU puissant,heures.GPU,GPU,2023,0.0,0.0,0.0,0.0,0.03337,0.6,kg eCO2/heures.GPU,,,,,,,,,,,,
41,Infra. de recherche,Astronomie,TAROT,% utilisation infra.,TAROT,2023,0.0,0.0,0.0,0.0,238500.0,0.8,kg eCO2/% utilisation infra.,,,,,,,,,,,,
42,Infra. de recherche,Astronomie,PdM,% utilisation infra.,Pic-du-Midi Observatory,2023,0.0,0.0,0.0,0.0,265000.0,0.8,kg eCO2/% utilisation infra.,,,,,,,,,,,,
43,Infra. de recherche,Astronomie,NOWT,% utilisation infra.,Nanshan Observatory,2023,0.0,0.0,0.0,0.0,265000.0,0.8,kg eCO2/% utilisation infra.,,,,,,,,,,,,
44,Infra. de recherche,Astronomie,C2PU,% utilisation infra.,C2PU (Calern),2023,0.0,0.0,0.0,0.0,530000.0,0.8,kg eCO2/% utilisation infra.,,,,,,,,,,,,
