Code NACRES;Montant;Element d'OTP;Centre de couts;Departement;Laboratoire
NE.04;10 900,00;OP20-039-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;287,73;;BIO_IB1;Biologie;IBENS
ND.11;572,34;;BIO_IB1;Biologie;IBENS
NB.17;1 120,00;OP17-061-OTP-01;BIO_IB_CR;Biologie;IBENS
KG.02;500,00;;BIO_IB1;Biologie;IBENS
EC.01;1 500,00;OP21-090-OTP-01;BIO_IB_CR;Biologie;IBENS
GA.09;69,00;OP20-038-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;1 151,68;;BIO_IB1;Biologie;IBENS
OB.11;985,00;OP20-067-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.61;9 456,00;;BIO_IB1;Biologie;IBENS
AA.66;707,50;;BIO_IB1;Biologie;IBENS
NB.11;95,00;OP20-038-OTP-01;BIO_IB_CR;Biologie;IBENS
AA.64;112,50;OP19-118-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.01;978,00;;BIO_IB1;Biologie;IBENS
XD.01;19,56;;BIO_IB1;Biologie;IBENS
NB.02;469,93;OP20-038-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.56;50 895,90;OP16-095-OTP-01;BIO_IB_CR;Biologie;IBENS
ID.14;25 000,00;OP19-137-OTP-01;BIO_CR;Biologie;IBENS
XC.01;375,00;OP19-012-OTP-01;BIO_IB_CR;Biologie;IBENS
FC.02;83,76;OP20-038-OTP-01;BIO_IB_CR;Biologie;IBENS
XD.62;42,50;OP19-029-OTP-01;BIO_IB_CR;Biologie;IBENS
IA.25;580,82;OP19-116-OTP-01;BIO_IB_CR;Biologie;IBENS
NC.51;95,00;OP21-184-OTP-01;BIO_IB_CR;Biologie;IBENS
AB.02;840,79;;BIO_IB1;Biologie;IBENS
ID.17;844,33;;BIO_IB1;Biologie;IBENS
BD.11;1 841,37;;BIO_IB1;Biologie;IBENS
XC.01;375,00;OP19-012-OTP-01;BIO_IB_CR;Biologie;IBENS
FB.02;97,65;OP19-118-OTP-01;BIO_IB_CR;Biologie;IBENS
FC.02;97,64;OP20-038-OTP-01;BIO_IB_CR;Biologie;IBENS
