marque;produit;reference;type_composant;materiau;masse_g;diviseur
;CHEMISE RIGIDES 220g (Par 5);B064;product;(aucun);220.0;1
;COLLE GLUE 3 Multi-usage 3g;B0761;product;(aucun);3.0;1
;COLLE en STICK 8g;B077;product;(aucun);8.0;1
;COTON CARDÉ ÉCRU 500g;E0171;product;(aucun);500.0;1
;PAPIER FILTRE blanc 42x52cm, Rame de 7 Kg;D028;product;(aucun);7000.0;1
;PAPIER PHOTOCOPIE BLANC A4 80g;B1532;product;(aucun);80.0;1
;PAPIER PHOTOCOPIE COULEURS A4 80g (Couleur à choisir);B153;product;(aucun);80.0;1
;Paire de gant latex powder free M (7-8);;product;Nitrile;13.7;1
;SAC à DECHET PAPIER 6 litres 70g (x250);E055;product;(aucun);70.0;1
;SOUS-CHEMISES fines 80g (Par 10);B063;product;(aucun);80.0;1
;SUCRE CRISTALISE 5Kg (Pour milieux de drosophile);C077;product;(aucun);5000.0;1
ADELYA;CHIFFON EPONGE BLANC (carton de 8kg);E016;product;(aucun);8000.0;1
AMCAN;LEVURE de BIERE SPRINGALINE BA10 25Kg (Origine France);C070;product;(aucun);25000.0;1
BD;AIGUILLE STÉRILE 18G 1,2x40mm Rose (x100);D0498;product;(aucun);18.0;1
BD;AIGUILLE STÉRILE 20G 0,9x25mm Jaune (x100);D0495A;product;(aucun);20.0;1
BD;AIGUILLE STÉRILE 21G 0,8x25mm Vert (x100);D0497;product;(aucun);21.0;1
BD;AIGUILLE STÉRILE 23G 0,6x25mm Bleu (x100);D0496;product;(aucun);23.0;1
BD;AIGUILLE STÉRILE 24G 0,55x25mm Bleu (x100) STERICAN;D0496A;product;(aucun);24.0;1
BD;AIGUILLE STÉRILE 26G 0,45x12mm Marron (x100);D0495;product;(aucun);26.0;1
BD;AIGUILLE STÉRILE 27G ext 0,41x13 (1/2) mm Gris (x100);D0495B;product;(aucun);27.0;1
BD;AIGUILLE STÉRILE 30G 0,3x13mm Beige (x100);D0499;product;(aucun);30.0;1
BIOLOGIX;Tube centrifugeuse 50 mL;10*9502;product;Polypropylène (PP);14.35;1
Corning®;Polypropylene Centrifuge tube, Sterile 50 ml - CentriStar Cap - 25 bulk;430829;primary_packaging;(aucun);15.282;25
Corning®;Polypropylene Centrifuge tube, Sterile 50 ml - CentriStar Cap - 25 bulk;430829;product;Polyéthylène téréphtalate (PET);12.2;1
Corning®;Polypropylene Centrifuge tube, Sterile 50 ml - CentriStar Cap - 25 bulk;430829;secondary_packaging;(aucun);0.0;1
CytoOne;T-225 Tissue Culture Flask, green plug seal cap;CC7682-4225;product;Polystyrène (PS);149.5;1
CytoOne;T-25 Tissue Culture Flask, green plug seal cap;CC7682-4825;product;Polystyrène (PS);20.9;1
CytoOne;T-75 Tissue Culture Flask, green plug seal cap;CC7682-4175;product;Polystyrène (PS);60.62;1
EUROMEDEX;AGAROSE Standard 100g;C0023;product;(aucun);100.0;1
EUROMEDEX;Ampicillin Sodium salt 10g;RCC504;product;(aucun);10.0;1
EUROMEDEX;Ampicillin Sodium salt 1g;RCC502;product;(aucun);1.0;1
EUROMEDEX;DTT (Purity: 99%) 25g;C034;product;(aucun);25.0;1
EUROMEDEX;GALACTOSE Low Glucose and Lactose 1Kg;C0141;product;(aucun);1000.0;1
EUROMEDEX;GLUCOSE 1Kg;C030A;product;(aucun);1000.0;1
EUROMEDEX;GLYCINE PA 1Kg;C0312;product;(aucun);1000.0;1
EUROMEDEX;IPTG Dioxane free 5g;C0321;product;(aucun);5.0;1
EUROMEDEX;KANAMYCIN MonoSULFATE 25g;C015;product;(aucun);25.0;1
EUROMEDEX;MAGNÉSIUM CHLORIDE HEXAHYDRATE 250g;C0741;product;(aucun);250.0;1
EUROMEDEX;MAGNÉSIUM SULFATE HEPTAHYDRATE 1Kg;C078;product;(aucun);1000.0;1
EUROMEDEX;POTASSIUM ACÉTATE NP 1Kg;C044;product;(aucun);1000.0;1
