type,action,index_source,consommable,marque,reference,code_nacres,ancien_prix_conditionnement,ancien_prix_ht_ijm,code_ijm,score_match
solide,manuel_conserve_prix_catalogue_separe,0,Tube centrifugeuse 15 mL,Falcon,352096,NB11,,70.93,P097,0.58
solide,manuel_conserve_prix_catalogue_separe,1,Tube centrifugeuse 50 mL,BIOLOGIX,10*9502,NB11,,72.06,P098,0.58
solide,manuel_conserve_prix_catalogue_separe,2,Seringue 5 mL,Terumo,1SS05LE1,NB03,,8.62,D0492,0.6
solide,manuel_conserve_prix_catalogue_separe,3,Boite de Pétri 35 x 10 mm,Falcon,351008,NB13,,6.37,T93150,0.533
solide,manuel_conserve_prix_catalogue_separe,4,Serological pipette 5 mL individually wrapped,Starlab,E4860-0005,NB04,,0.95,P0601,0.358
solide,manuel_conserve_prix_catalogue_separe,5,"T-25 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4825,NB13,,3.73,P0652F,0.379
solide,manuel_conserve_prix_catalogue_separe,6,"T-75 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4175,NB13,,3.73,P0652F,0.379
solide,manuel_conserve_prix_catalogue_separe,7,"T-225 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4225,NB13,,3.73,P0652F,0.375
solide,manuel_conserve_prix_catalogue_separe,8,"200 µl Pointe TipOne®, Naturel",Starlab,S1111-0810-C,NB02,,30.43,P0808,0.375
solide,manuel_conserve_prix_catalogue_separe,9,"1 000 µl Pointe graduée TipOne®, Bleu",Starlab,S1111-6811-C,NB02,,41.75,P1100,0.395
solide,manuel_conserve,10,"1 000 µl Pointe non graduée TipOne® Filtre, Naturel (stérile)",Starlab,S1126-7710-C,NB11,,,,
solide,manuel_conserve,11,1.5 mL FlipTube Standard,Hamilton,235454,HA01,,,,
solide,manuel_conserve_prix_catalogue_separe,12,Paire de gant latex powder free M (7-8),,,HA01,,9.01,E03631,0.413
solide,manuel_conserve_prix_catalogue_separe,13,Paire de gants (taille M) ambidextres Kimtech Purple Nitrile,Kimberly-Clark,90627,HA01,,9.01,E03631,0.357
solide,manuel_conserve,14,Paire de gants (taille L) ambidextres Kimtech Purple Nitrile,Kimberly-Clark,90628,NB13,,,,
solide,manuel_conserve,15,Falcon® Tube with conical bottom 50 ml (bulk),Falcon®,352070,NB13,,,,
solide,manuel_conserve,16,TPP Tissue Culture Dish 60,TPP,93060,NB03,,,,
solide,manuel_conserve_prix_catalogue_separe,17,1ml Terumo Leur Slip Syringes,TERUMO,BS-01T,NB03,,8.62,D0491,0.293
solide,manuel_conserve,18,"Polypropylene Centrifuge tube, Sterile 50 ml - CentriStar Cap - 25 bulk",Corning®,430829,NB13,,,,
solide,manuel_conserve_prix_catalogue_separe,19,Pipette for cell culture 2 ml Falcon®,Falcon®,357507,NB04,,20.14,P058,0.5
solide,manuel_conserve_prix_catalogue_separe,20,Pipette for cell culture 25 ml + 11 ml Falcon®,Falcon®,357535,NB04,,20.14,P058,0.444
solide,manuel_conserve,21,Falcon® Tube with conical bottom 15 ml (bulk),Falcon®,352096,NB13,,,,
solide,manuel_conserve_prix_catalogue_separe,22,TPP Tissue Culture Dish 100,TPP,93100,NB13,,5.03,P0675N,0.469
solide,manuel_conserve_prix_catalogue_separe,23,"Dropper Bottle, LDPE with white closure 15ml",ThermoScentific,2750-9050,NB43,"36,06",2.82,P065A,0.378
solide,catalogue_ijm_ligne_separee,,GANTS de PROTECTION THERMIQUE KEVLAR/COTON Jusqu'à 350°C L310mm,,E033,HA04,,32.72,E033,
solide,catalogue_ijm_ligne_separee,,GANTS de PROTECTION THERMIQUE ETANCHE Jusqu'à 150°C,MAPA,E033A,HA04,,81.53,E033A,
solide,catalogue_ijm_ligne_separee,,CRYOGANT en CUIR Etanche 38 cm Taille S,CRYO-GLOVES,E034,HA04,,69.92,E034,
solide,catalogue_ijm_ligne_separee,,CRYOGANT en CUIR Etanche 38 cm Taille M,CRYO-GLOVES,E035,HA04,,69.92,E035,
solide,catalogue_ijm_ligne_separee,,CRYOGANT en CUIR Etanche 38 cm Taille L,CRYO-GLOVES,E0351,HA04,,69.92,E0351,
solide,catalogue_ijm_ligne_separee,,GANTS LATEX XS Eco SHIELD,SHIELD,E03630,HA01,,9.01,E03630,
solide,catalogue_ijm_ligne_separee,,GANTS LATEX S Eco SHIELD,SHIELD,E03631,HA01,,9.01,E03631,
solide,catalogue_ijm_ligne_separee,,GANTS LATEX M Eco SHIELD,SHIELD,E03632,HA01,,9.01,E03632,
solide,catalogue_ijm_ligne_separee,,GANTS LATEX L Eco SHIELD,SHIELD,E03633,HA01,,9.01,E03633,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE XS (x200) FISHERBRAND,FISHERBRAND,E0342D,HA01,,9.74,E0342D,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE S (x200) FISHERBRAND,FISHERBRAND,E0343D,HA01,,9.74,E0343D,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE M (x200) FISHERBRAND,FISHERBRAND,E0353D,HA01,,9.74,E0353D,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE L (x200) FISHERBRAND,FISHERBRAND,E0363D,HA01,,9.74,E0363D,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE XL (x200) FISHERBRAND,FISHERBRAND,E0364D,HA01,,9.74,E0364D,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE XS (x150) EcoSHIELD VERT,SHIELD SCIENTIFIC,E0342B,HA01,,16.59,E0342B,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE S (x150) EcoSHIELD VERT,SHIELD SCIENTIFIC,E0343B,HA01,,16.59,E0343B,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE M (x150) EcoSHIELD VERT,SHIELD SCIENTIFIC,E0353B,HA01,,16.59,E0353B,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE L (x150) EcoSHIELD VERT,SHIELD SCIENTIFIC,E0363B,HA01,,16.59,E0363B,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE XL (x150) EcoSHIELD VERT,SHIELD SCIENTIFIC,E0364B,HA01,,16.59,E0364B,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE 260 SHIELDskin XS (Orange),SHIELD SCIENTIFIC,E0342G,HA01,,15.74,E0342G,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE 260 SHIELDskin S (Orange),SHIELD SCIENTIFIC,E0343G,HA01,,15.74,E0343G,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE 260 SHIELDskin M (Orange),SHIELD SCIENTIFIC,E0353G,HA01,,15.74,E0353G,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE 260 SHIELDskin L (Orange),SHIELD SCIENTIFIC,E0363G,HA01,,15.74,E0363G,
solide,catalogue_ijm_ligne_separee,,GANTS NITRILE 260 SHIELDskin XL (Orange),SHIELD SCIENTIFIC,E0364G,HA01,,15.74,E0364G,
solide,catalogue_ijm_ligne_separee,,GANTS NEOPRENE/NITRILE 300 SHIELDskin CHEM XS (Rouge/Red),SHIELD SCIENTIFIC,E0342R,HA01,,37.35,E0342R,
solide,catalogue_ijm_ligne_separee,,GANTS NEOPRENE/NITRILE 300 SHIELDskin CHEM S (Rouge/Red),SHIELD SCIENTIFIC,E0343R,HA01,,37.35,E0343R,
solide,catalogue_ijm_ligne_separee,,GANTS NEOPRENE/NITRILE 300 SHIELDskin CHEM M (Rouge/Red),SHIELD SCIENTIFIC,E0353R,HA01,,37.35,E0353R,
solide,catalogue_ijm_ligne_separee,,GANTS NEOPRENE/NITRILE 300 SHIELDskin CHEM L (Rouge/Red),SHIELD SCIENTIFIC,E0363R,HA01,,37.35,E0363R,
solide,catalogue_ijm_ligne_separee,,GANTS NEOPRENE/NITRILE 300 SHIELDskin CHEM XL (Rouge/Red),SHIELD SCIENTIFIC,E0364R,HA01,,37.35,E0364R,
solide,catalogue_ijm_ligne_separee,,GANTS de MANUTENTION croûte cuire,,E037,HA04,,6.78,E037,
solide,catalogue_ijm_ligne_separee,,GANTS de MENAGE Hypoallergenique Taille 6/7,ADELYA,E038,HA04,,2.25,E038,
solide,catalogue_ijm_ligne_separee,,GANTS de MENAGE Hypoallergenique Taille 7/8,ADELYA,E039,HA04,,2.25,E039,
solide,catalogue_ijm_ligne_separee,,GANTS de MENAGE HypoallergeniqueTaille 8/9,ADELYA,E040,HA04,,2.25,E040,
solide,catalogue_ijm_ligne_separee,,BLOUSE JETABLE Taille L ou XL (x50) Avec bouton pression,,E053,HA03,,48.15,E053,
solide,catalogue_ijm_ligne_separee,,SUR-CHAUSSURE ANTI-DERAPANTES (Au carton),,HS024,HA02,,50.94,HS024,
solide,catalogue_ijm_ligne_separee,,CHARLOTTE CLIP BLANC (x100),,E0551,HA02,,6.58,E0551,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 0 Logo IJM,,HS007,HA03,,25.15,HS007,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 1 Logo IJM,,HS008,HA03,,25.15,HS008,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 2 Logo IJM,,E009,HA03,,25.15,E009,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 3 Logo IJM,,E010,HA03,,25.15,E010,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 4 Logo IJM,,E011,HA03,,25.15,E011,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 5 Logo IJM,,E0112,HA03,,25.15,E0112,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 6 Logo IJM,,E0113,HA03,,25.15,E0113,
solide,catalogue_ijm_ligne_separee,,BLOUSE CLARISSE Taille 4 (Bouton latéral),,E012T,HA03,,25.15,E012T,
solide,catalogue_ijm_ligne_separee,,TABLIER à BAVETTE,,E068,HA03,,5.96,E068,
