category;code_nacres;consommable;days;emission_mass;emission_mass_error;emissions_price;emissions_price_error;name;quantity;subcategory;subsubcategory;total_mass;unit;value;days_machine;electricity_type;power;usage_time
Achats;NB13 Culture cellulaire eucaryote : consommables en plastique specifiques;T-225 Tissue Culture Flask, green plug seal cap;1.0;523.25;52.325;8.4;5.88;Culture cellulaire eucaryote : consommables en plastique specifiques;1000.0;Consommables (Matières premières, produits chimiques/biologiques et organismes vivants);NB13;149.5;euro;20.0;;;;
Achats;NB13 Culture cellulaire eucaryote : consommables en plastique specifiques;T-25 Tissue Culture Flask, green plug seal cap;1.0;0.7314999999999999;0.07314999999999999;1.26;0.8819999999999999;Culture cellulaire eucaryote : consommables en plastique specifiques;10.0;Consommables (Matières premières, produits chimiques/biologiques et organismes vivants);NB13;0.209;euro;3.0;;;;
Achats;NB02 Pointes (cones) pour micropipettes mono-canal et multi-canaux;1 000 µl Pointe graduée TipOne®, Bleu;1.0;0.9846000000000001;0.09846000000000002;34.3;27.439999999999998;Pointes (cones) pour micropipettes mono-canal et multi-canaux;600.0;Consommables (Matières premières, produits chimiques/biologiques et organismes vivants);NB02;0.32820000000000005;euro;70.0;;;;
Achats;NB04 Pipettes a usage unique;Serological pipette 5 mL individually wrapped;1.0;0.27176000000000006;0.027176000000000006;18.27;10.962;Pipettes a usage unique;43.0;Consommables (Matières premières, produits chimiques/biologiques et organismes vivants);NB04;0.33970000000000006;euro;29.0;;;;
Achats;NB21;Consommable 18;1.0;4.988999999999999;;12.2;;Consommables de chromatographie et d'extraction non dedies aux instruments;100.0;Consommables (Matières premières, produits chimiques/biologiques et organismes vivants);NB21;1.6629999999999998;euro;20.0;;;;
Achats;NB17;Consommable 7;1.0;1.5584000000000002;;16.38;;Autres consommables en plastique et en verre hors culture cell. et bacterio;100.0;Consommables (Matières premières, produits chimiques/biologiques et organismes vivants);NB17;1.948;euro;39.0;;;;
Achats;NB23;Consommable 3;1.0;11.3015;;117.73;;Membranes et kits pour le transfert d'acides nucleiques et des proteines (blot);100.0;Consommables (Matières premières, produits chimiques/biologiques et organismes vivants);NB23;3.229;euro;193.0;;;;
Machine;nan;nan;;0.0;0.0;1.04;0.10400000000000001;;;Centrifugeuse;;0.0;kWh;20.0;2.0;Electricité France continentale;1.0;10.0
Véhicules;NA;NA;200.0;0.0;0.0;388.08;77.616;TGV;0.0;ferroviaire;TGV > 200 km;0.0;km;588.0;;;;
Machine;NA;NA;;0.0;0.0;4.16;0.41600000000000004;;0.0;Autoclave;;0.0;kWh;80.0;;Electricité France continentale;;
Machine;NA;NA;;0.0;0.0;52.0;5.2;;0.0;PSM;;0.0;kWh;1000.0;;Electricité France continentale;;
Achats;IA32;NA;1.0;0.0;0.0;66.0;19.8;Systemes pour le stockage et la sauvegarde de donnees;0.0;Informatique-audiovisuel;IA32;0.0;euro;200.0;;;;
Achats;MA45;NA;1.0;0.0;0.0;31.15;15.575;Lampes pour microscopes photoniques et de fluorescence;0.0;Matériel et instruments de laboratoire;MA45;0.0;euro;89.0;;;;
Véhicules;NA;NA;200.0;0.0;0.0;509.04;305.424;Voiture particulière , moyenne parc, motorisation gazole;0.0;Voiture;Diesel;0.0;km;12.0;;;;
