Consommable,Marque,Référence,Code CAS,Catégorie,Code NACRES,Masse unitaire (g),Matériau consommable,Masse unitaire deuxieme materiaux (g),Matériau deuxieme materiaux,Masse unitaire troisième materiaux (g),Matériau troisième materiaux,Masse emballage unitaire (g),Matériau emballage,Masse condionnement (g),Matériau conditionnement,Nbr par conditionnement,Prix du conditionnement,Unité liquide,Volume flacon (mL),Facteur liquide source,date d'ajout,Source,Signature,Source catalogue IJM,Lien / Note / Remarque,condt_ijm,designation_ijm,code_ijm,marque_ijm,score_match
Tube centrifugeuse 15 mL,Falcon,352096,,Consommable,NB11,6.7,Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,,,,,Souchaud,,,,,,,
Tube centrifugeuse 50 mL,BIOLOGIX,10*9502,,Consommable,NB11,14.35,Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,,,,,Souchaud,,,,,,,
Seringue 5 mL,Terumo,1SS05LE1,,Consommable,NB03,1.9,Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,,,,,Souchaud,,,,,,,
Boite de Pétri 35 x 10 mm,Falcon,351008,,Consommable,NB13,4.6,Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,,,,,Souchaud,,,,,,,
Serological pipette 5 mL individually wrapped,Starlab,E4860-0005,,Consommable,NB04,7.9,Verre,,Verre,,,,,,,,,,,,,,Souchaud,,,,,,,
"T-25 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4825,,Consommable,NB13,20.9,Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,,,,,Souchaud,,,,,,,
"T-75 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4175,,Consommable,NB13,60.62,Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,,,,,Souchaud,,,,,,,
"T-225 Tissue Culture Flask, green plug seal cap",CytoOne,CC7682-4225,,Consommable,NB13,149.5,Polystyrène (PS),,Polystyrène (PS),,,,,,,,,,,,,,Souchaud,,,,,,,
"200 µl Pointe TipOne®, Naturel",Starlab,S1111-0810-C,,Consommable,NB02,0.28,Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,,,,https://www.starlabgroup.com/FR-fr/product/200-ul-pointe-tipone-naturel-pf-sl-920673.html,Souchaud,,https://www.starlabgroup.com/FR-fr/product/200-ul-pointe-tipone-naturel-pf-sl-920673.html,,,,,
"1 000 µl Pointe graduée TipOne®, Bleu",Starlab,S1111-6811-C,,Consommable,NB02,0.547,Polypropylène (PP),,Polypropylène (PP),,,,,,,,,,,,,https://www.starlabgroup.com/FR-fr/product/1-nbsp-000-ul-pointe-graduee-tipone-bleu-pf-sl-921051.html,Souchaud,,https://www.starlabgroup.com/FR-fr/product/1-nbsp-000-ul-pointe-graduee-tipone-bleu-pf-sl-921051.html,,,,,
